delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_time_hours,customer_id_x,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,complaint_id,customer_id_y,complaint_type,channel,complaint_severity,created_at,status,resolution_days,compensation_amount,has_complaint,incident_id,incident_type,reported_at,incident_severity,resolution_status,resolved_hours,has_incident,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 02:29:05.367622,OnTime,13.85,0,0,4.36,15.17,,C0449,Passenger,2024-02-02 01:04:00,1,South,West,Low,20.68,Web,0,CP0293,C0449,DriverBehaviour,Phone,Medium,2024-02-02 01:04:00,Resolved,3.0,28.0,True,I0135,ProofMissing,2024-02-02 04:42:00,Medium,Open,0.0,True,Central,FullTime,12,79.5,4.61,Evening,1,Hybrid,SOUTH,2025-01-11 11:13:00,65.5,163683,Scheduled,v2.2
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05.387672,Failed,16.96,3,0,0.0,16.98,13.751496575555555,C0197,Business,2024-12-26 18:58:00,6,CENTRAL,RiverSide,Medium,321.68,App,0,,,,,,,,,,False,,,,,,,False,WEST,FullTime,3,75.4,3.58,Evening,1,Hybrid,RiverSide,2024-04-23 12:54:00,82.4,169703,InRepair,v2.2
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30.834127,OnTime,6.01,2,0,3.96,11.52,2.0752317019444444,C0578,Business,2025-01-26 05:55:00,6,East,Central,Medium,80.04,Web,0,,,,,,,,,,False,I0196,VehicleFault,2025-01-26 10:52:00,Medium,Closed,0.2,True,RiverSide,Contract,2,82.0,3.71,Morning,1,CargoVan,SOUTH,2025-09-30 12:01:00,87.3,145652,Active,v2.1
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.795700,OnTime,16.46,0,0,3.67,11.74,8.178832138888888,C0153,Passenger,2024-05-07 09:57:00,12,EAST,WEST,Medium,61.87,App,0,,,,,,,,,,False,I0046,ProofMissing,2024-05-07 14:02:00,High,PendingVendor,6.9,True,East,PartTime,10,67.6,4.62,Morning,1,EV,RiverSide,2025-06-14 03:47:00,90.5,49711,Active,v2.0
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56.080634,OnTime,26.58,3,0,4.47,21.64,9.482244620555555,C0479,Retail,2024-08-16 19:48:00,12,AIRPORT,WEST,Medium,71.08,App,1,,,,,,,,,,False,,,,,,,False,WEST,FullTime,11,77.0,4.84,Morning,1,EV,CENTRAL,2024-06-09 16:18:00,78.4,29849,Active,v2.2
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00.780258,OnTime,18.25,1,0,5.0,12.61,3.066883405,C0006,Passenger,2025-06-11 23:22:00,6,West,Airport,High,76.75,Phone,0,,,,,,,,,,False,I0252,VehicleFault,2025-06-12 02:24:00,Medium,PendingVendor,3.8,True,West,FullTime,8,70.0,3.95,Evening,1,Hybrid,EAST,2025-08-24 05:20:00,58.5,172956,Active,v1.9
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42.086626,Delayed,20.79,0,0,1.0,15.62,8.661690729444445,C0572,Medical,2024-08-25 16:52:00,1,CENTRAL,RiverSide,High,188.73,Web,0,,,,,,,,,,False,,,,,,,False,Central,FullTime,4,42.4,3.94,Evening,1,EV,RiverSide,2025-06-14 03:47:00,90.5,49711,Active,v2.0
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 09:54:19.874248,OnTime,13.67,0,0,4.46,16.18,,C0374,Retail,2025-07-29 07:56:00,2,WEST,WEST,Low,132.01,App,0,,,,,,,,,,False,,,,,,,False,East,FullTime,3,89.4,3.85,Night,1,EV,North,2024-12-28 23:48:00,71.8,56928,Active,v2.2
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41.272083,OnTime,16.35,4,0,4.97,13.97,7.9114644675,C0336,Parcel,2024-06-25 23:47:00,6,Central,East,Low,103.78,App,0,,,,,,,,,,False,I0116,SafetyNearMiss,2024-06-26 00:10:00,Critical,Escalated,12.1,True,NORTH,PartTime,4,84.9,3.15,Night,0,Hybrid,RiverSide,2024-06-07 13:21:00,76.7853448275862,36310,Active,v2.2
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,OnTime,24.31,0,0,4.15,12.61,1.6938309466666668,C0478,Medical,2025-03-29 10:44:00,4,NORTH,north,Low,54.41,Web,0,,,,,,,,,,False,,,,,,,False,South,FullTime,13,74.1,4.42,Evening,1,EV,West,2024-01-05 09:25:00,84.3,217057,Active,v2.1
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52.916514,OnTime,9.77,4,0,4.07,6.43,21.014699031666666,C0300,Passenger,2025-04-24 11:49:00,24,Central,NORTH,Medium,9.42,App,0,,,,,,,,,,False,,,,,,,False,north,FullTime,1,71.1,3.93,Flexible,1,EV,West,2024-12-28 08:10:00,86.6,165481,Active,v2.2
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39.715444,Failed,15.81,0,0,3.5,15.62,4.077698734444445,C0492,Parcel,2025-08-23 21:51:00,4,EAST,Central,Medium,97.55,App,0,,,,,,,,,,False,,,,,,,False,Riverside,Contract,4,84.3,4.17,Morning,1,Diesel,Riverside,2025-12-21 04:26:00,74.1,43518,InRepair,v2.1
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11.392658,OnTime,4.29,1,0,5.0,2.5,1.3531646272222222,C0606,Retail,2025-06-12 00:28:00,4,Central,WEST,Medium,69.17,App,0,,,,,,,,,,False,,,,,,,False,South,FullTime,5,82.2,4.06,Morning,1,Diesel,CENTRAL,2025-06-22 17:38:00,83.0,71294,Active,v2.2
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44.601237,OnTime,8.58,0,0,4.78,14.62,3.6457225658333337,C0216,Retail,2025-08-19 14:21:00,4,South,Airport,Medium,260.15,Web,0,,,,,,,,,,False,,,,,,,False,NORTH,FullTime,2,59.6,4.12,Flexible,1,EV,north,2024-12-04 10:53:00,76.7853448275862,130270,Active,v2.0
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15.665186,OnTime,7.41,0,0,5.0,7.2,2.6710181072222223,C0542,Medical,2025-09-08 18:21:00,4,SOUTH,CENTRAL,Low,56.47,App,0,,,,,,,,,,False,,,,,,,False,WEST,FullTime,8,71.2,3.64,Evening,1,Diesel,WEST,2025-12-29 15:01:00,69.7,73011,Active,v2.1
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,2025-02-06 01:48:45.831712,Failed,14.27,2,0,2.23,10.04,38.54606436444445,C0480,Passenger,2025-02-04 09:04:00,24,WEST,RiverSide,High,133.71,App,0,,,,,,,,,,False,,,,,,,False,East,FullTime,15,88.2,4.24,Evening,1,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2024-01-02 00:13:30.937528,OnTime,13.27,0,0,4.15,9.05,20.89192709111111,C0152,Medical,2024-01-01 01:29:00,24,East,South,Medium,19.26,Web,0,,,,,,,,,,False,I0115,BatteryAlert,2024-01-01 05:05:00,Critical,Open,15.4,True,WEST,FullTime,6,75.0,4.25,Morning,1,Hybrid,North,2024-10-28 22:21:00,76.7,90558,Scheduled,v2.2
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2024-11-13 04:15:00.393100,Delayed,15.53,2,0,2.7,13.05,12.383442527777778,C0476,Business,2024-11-12 14:07:00,4,SOUTH,north,Critical,56.73,Phone,0,CP0142,C0476,AppIssue,Chatbot,Low,2024-11-19 14:07:00,Resolved,3.0,8.27,True,,,,,,,False,North,PartTime,10,82.2,3.89,Night,1,Hybrid,South,2025-01-28 20:20:00,89.6,44499,Scheduled,v2.1
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,2024-05-15 04:38:00.000000,OnTime,9.43,1,0,3.72,8.72,,C0075,Passenger,2024-05-15 04:14:00,1,NORTH,CENTRAL,Low,94.32,App,0,,,,,,,,,,False,,,,,,,False,East,PartTime,9,69.7,4.1,Evening,1,EV,CENTRAL,2024-02-25 07:56:00,82.8,42307,Scheduled,v2.2
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2024-06-16 19:22:12.494298,OnTime,7.71,1,0,4.1,16.42,0.420137305,C0490,Parcel,2024-06-16 18:40:00,1,West,North,Medium,80.48,Web,0,,,,,,,,,,False,,,,,,,False,West,FullTime,11,71.3,4.27,Morning,1,Hybrid,Riverside,2024-06-28 15:49:00,97.5,73769,InRepair,v2.0
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2025-07-23 23:21:38.152021,OnTime,12.06,0,0,4.1,14.98,,C0347,Passenger,2025-07-23 20:36:00,2,South,SOUTH,High,71.2,Phone,0,,,,,,,,,,False,,,,,,,False,north,PartTime,7,63.9,4.67,Morning,1,Diesel,South,2025-08-06 20:40:00,60.3,126438,Active,v2.2
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,OnTime,15.58,1,0,4.23,13.75,2.9962067233333336,C0171,Retail,2025-01-29 00:42:00,6,South,north,Low,34.55,Phone,0,,,,,,,,,,False,I0038,ProofMissing,2025-01-29 06:31:00,Medium,Closed,5.2,True,NORTH,FullTime,2,59.6,4.12,Flexible,1,CargoVan,NORTH,2025-10-07 22:40:00,50.7,129032,InRepair,v2.1
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,2024-11-19 06:51:25.201294,Failed,11.72,0,1,4.13,18.12,40.840333692777776,C0338,Medical,2024-11-17 13:40:00,24,RiverSide,Central,Critical,125.38,App,0,,,,,,,,,,False,,,,,,,False,EAST,PartTime,3,88.2,3.67,Morning,1,Diesel,WEST,2024-04-12 02:10:00,85.5,32441,InRepair,v2.1
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2025-06-19 05:14:57.054608,Delayed,14.68,0,0,4.4,9.44,17.232515168888888,C0581,Medical,2025-06-18 11:20:00,2,West,Airport,Critical,10.07,App,1,,,,,,,,,,False,,,,,,,False,South,FullTime,13,74.1,4.42,Evening,1,EV,East,2025-03-22 01:17:00,85.1,63717,Active,v2.1
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,2025-05-22 01:56:14.948650,OnTime,22.05,0,0,4.96,14.78,4.354152402777778,C0473,Business,2025-05-21 19:25:00,6,SOUTH,EAST,Medium,142.68,App,0,,,,,,,,,,False,,,,,,,False,East,FullTime,11,85.1,4.34,Morning,1,CargoVan,CENTRAL,2025-03-16 12:29:00,81.6,68032,Active,v2.1
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2024-11-09 04:09:12.967657,OnTime,15.77,1,0,4.35,13.68,5.920268793611111,C0331,Retail,2024-11-08 21:45:00,4,SOUTH,West,Medium,35.54,App,0,CP0091,C0331,Delay,Phone,Medium,2024-11-13 21:45:00,Resolved,4.0,0.0,True,I0258,AppSyncError,2024-11-09 01:48:00,Low,Open,19.9,True,Central,FullTime,5,81.4,4.45,Morning,1,CargoVan,NORTH,2024-05-06 13:52:00,74.9,93084,Active,v2.1
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2025-05-16 02:10:07.723523,OnTime,23.49,1,0,4.21,11.21,23.76881208972222,C0482,Retail,2025-05-15 01:52:00,24,EAST,Central,Low,62.26,Web,0,,,,,,,,,,False,,,,,,,False,West,FullTime,8,70.0,3.95,Evening,1,Hybrid,Central,2024-05-12 02:12:00,58.9,52725,InRepair,v1.9
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,2025-10-26 16:43:11.478296,Failed,8.82,2,0,3.43,13.21,1.2031884155555557,C0499,Business,2025-10-26 12:56:00,2,South,South,Medium,85.0,App,0,,,,,,,,,,False,I0228,BatteryAlert,2025-10-26 18:53:00,Medium,Closed,11.8,True,Ctr,FullTime,4,56.4,4.03,Morning,1,EV,AIRPORT,2024-04-21 16:14:00,67.9,159368,InRepair,v2.2
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2025-07-27 04:22:45.664955,Failed,17.13,1,0,2.51,16.3,12.412684709722223,C0504,Passenger,2025-07-26 14:06:00,4,Central,EAST,Low,76.58,App,1,,,,,,,,,,False,,,,,,,False,NORTH,FullTime,8,58.0,3.78,Morning,1,EV,Riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2025-02-02 04:04:35.282288,Failed,9.53,1,0,1.68,11.11,19.44313396888889,C0619,Retail,2025-02-01 07:06:00,4,RiverSide,north,Low,229.93,App,0,CP0122,C0619,AppIssue,Email,High,2025-02-09 07:06:00,AwaitingCustomer,9.0,35.13,True,,,,,,,False,AIRPORT,PartTime,12,74.3,3.7,Night,1,Diesel,North,2025-09-26 13:33:00,90.4,215767,InRepair,v2.1
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,2024-02-01 19:53:37.396269,Failed,15.88,3,1,2.94,13.19,10.927054519166665,C0368,Retail,2024-02-01 07:49:00,6,NORTH,South,Low,62.8,Phone,1,CP0139,C0368,SupportExperience,Phone,High,2024-02-05 07:49:00,Resolved,16.0,46.47,True,,,,,,,False,CENTRAL,FullTime,4,62.0,4.31,Flexible,1,EV,Riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,OnTime,12.02,0,0,4.45,11.41,9.748425948333333,C0141,Retail,2024-10-03 23:49:00,12,NORTH,East,Critical,78.93,App,0,,,,,,,,,,False,I0066,RouteDeviation,2024-10-04 02:46:00,Low,Closed,28.0,True,Airport,Contract,1,74.91472392638036,4.36,Morning,1,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,2024-12-04 20:31:28.589644,OnTime,11.94,0,0,4.24,11.81,4.757941567777777,C0224,Retail,2024-12-04 12:49:00,6,SOUTH,West,Medium,27.48,Phone,0,CP0054,C0224,Delay,App,Medium,2024-12-07 12:49:00,Resolved,1.0,36.38,True,,,,,,,False,RiverSide,Contract,7,40.6,4.1,Morning,1,EV,EAST,2025-01-01 01:38:00,69.5,37024,InRepair,v1.9
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2024-07-12 12:20:42.900637,OnTime,4.63,0,0,4.34,12.87,2.5619168436111113,C0096,Retail,2024-07-12 07:43:00,6,North,WEST,Critical,32.27,App,0,CP0006,C0096,Delay,App,Medium,2024-07-22 07:43:00,Resolved,9.0,18.51,True,,,,,,,False,CENTRAL,Contract,14,41.4,4.0,Morning,1,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2025-11-07 21:03:01.572726,OnTime,10.61,1,0,5.0,14.13,20.517103535,C0139,Retail,2025-11-06 21:37:00,24,WEST,Ctr,Low,44.93,API,1,,,,,,,,,,False,,,,,,,False,South,FullTime,13,74.1,4.42,Evening,1,EV,North,2024-11-21 11:04:00,87.8,141107,Active,v2.0
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,2025-10-31 06:59:41.392827,OnTime,5.53,2,0,3.09,11.27,23.4114980075,C0633,Parcel,2025-10-30 07:05:00,24,WEST,WEST,Low,42.02,App,0,,,,,,,,,,False,,,,,,,False,Riverside,Contract,4,84.3,4.17,Morning,1,EV,north,2024-07-11 13:31:00,95.8,101425,Active,v1.9
DL00047,O00263,D045,V091,H06,2024-02-19 04:07:00,2024-02-19 03:46:04.685358,OnTime,16.33,0,0,5.0,10.25,,C0031,Parcel,2024-02-19 02:04:00,2,West,Central,Low,63.35,App,0,CP0092,C0031,DriverBehaviour,Email,High,2024-03-02 02:04:00,Escalated,12.0,46.65,True,,,,,,,False,NORTH,FullTime,2,59.6,4.12,Flexible,1,Hybrid,EAST,2025-08-24 05:20:00,58.5,172956,Active,v1.9
DL00048,O00358,D045,V093,H05,2024-03-20 13:40:00,2024-03-20 18:11:50.892104,Delayed,7.37,0,0,3.33,14.67,4.530803362222223,C0273,Passenger,2024-03-20 11:13:00,4,Riverside,CENTRAL,Low,94.51,App,0,,,,,,,,,,False,,,,,,,False,NORTH,FullTime,2,59.6,4.12,Flexible,1,CargoVan,Central,2025-03-04 19:16:00,69.2,119136,Scheduled,v2.0
DL00049,O01076,D091,V018,H02,2024-09-29 01:23:00,2024-09-29 07:46:30.295652,OnTime,12.55,0,0,3.52,6.93,6.391748792222223,C0035,Business,2024-09-28 22:50:00,6,SOUTH,AIRPORT,Critical,46.37,App,0,,,,,,,,,,False,,,,,,,False,Riverside,FullTime,12,68.0,4.46,Night,1,Diesel,RiverSide,2025-04-08 22:29:00,86.8,98363,Scheduled,v2.1
DL00050,O00534,D065,V046,H06,2025-09-05 05:03:00,2025-09-05 03:24:00.000000,OnTime,26.85,0,0,5.0,14.34,,C0159,Parcel,2025-09-05 03:00:00,2,Airport,Ctr,Critical,188.05,App,1,,,,,,,,,,False,I0138,AppSyncError,2025-09-05 05:30:00,Medium,Escalated,0.0,True,Riverside,FullTime,14,59.6,4.02,Morning,1,EV,north,2024-07-11 13:31:00,95.8,101425,Active,v1.9
DL00050,O00534,D065,V046,H06,2025-09-05 05:03:00,2025-09-05 03:24:00.000000,OnTime,26.85,0,0,5.0,14.34,,C0159,Parcel,2025-09-05 03:00:00,2,Airport,Ctr,Critical,188.05,App,1,,,,,,,,,,False,I0272,BatteryAlert,2025-09-05 05:18:00,High,Closed,20.3,True,Riverside,FullTime,14,59.6,4.02,Morning,1,EV,north,2024-07-11 13:31:00,95.8,101425,Active,v1.9
DL00051,O00785,D150,V055,H07,2025-12-31 17:27:00,2025-12-31 18:05:52.415764,OnTime,8.02,0,0,4.31,14.59,0.6478932677777778,C0378,Passenger,2025-12-31 14:49:00,4,East,CENTRAL,High,98.07,Phone,0,,,,,,,,,,False,,,,,,,False,EAST,FullTime,12,88.1,4.08,Night,1,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1
DL00052,O00554,D168,V020,H08,2025-05-06 10:37:00,2025-05-06 20:57:25.303009,Delayed,26.380000000000003,1,1,2.52,24.54,10.340361946944446,C0117,Medical,2025-05-06 09:09:00,2,AIRPORT,RiverSide,High,129.89,App,0,,,,,,,,,,False,I0010,CustomerNoShow,2025-05-06 14:17:00,Medium,Closed,9.4,True,North,FullTime,12,93.6,3.84,Morning,1,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1
DL00052,O00554,D168,V020,H08,2025-05-06 10:37:00,2025-05-06 20:57:25.303009,Delayed,26.380000000000003,1,1,2.52,24.54,10.340361946944446,C0117,Medical,2025-05-06 09:09:00,2,AIRPORT,RiverSide,High,129.89,App,0,,,,,,,,,,False,I0243,CustomerNoShow,2025-05-06 14:07:00,Medium,Closed,25.6,True,North,FullTime,12,93.6,3.84,Morning,1,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1
DL00053,O00302,D018,V099,H01,2025-07-10 18:38:00,2025-07-11 17:06:29.590655,OnTime,14.14,0,0,3.63,10.32,22.474886293055558,C0558,Retail,2025-07-10 16:13:00,24,RiverSide,CENTRAL,High,228.25,Web,0,,,,,,,,,,False,,,,,,,False,WEST,PartTime,14,73.8,4.57,Flexible,1,Hybrid,SOUTH,2024-09-06 02:11:00,65.8,92896,Active,v2.0
DL00054,O01044,D117,V079,H01,2025-02-14 07:41:00,2025-02-14 20:37:54.180405,Delayed,29.8,1,0,4.7,22.28,12.948383445833333,C0190,Retail,2025-02-14 04:57:00,12,AIRPORT,Riverside,Low,70.39,App,1,,,,,,,,,,False,,,,,,,False,north,FullTime,1,71.1,3.93,Flexible,1,EV,AIRPORT,2025-12-01 18:20:00,100.0,117995,Active,v2.2
DL00055,O00819,D069,V018,H04,2025-04-28 21:37:00,2025-04-29 04:45:04.624638,Delayed,35.07,5,1,2.78,22.2,7.134617955,C0098,Retail,2025-04-28 19:09:00,4,Airport,WEST,Low,93.02,App,0,,,,,,,,,,False,,,,,,,False,NORTH,PartTime,2,61.5,5.0,Evening,0,Diesel,RiverSide,2025-04-08 22:29:00,86.8,98363,Scheduled,v2.1
DL00056,O00698,D137,V081,H08,2024-10-22 21:45:00,2024-10-22 22:00:19.303026,OnTime,13.46,2,0,4.01,6.52,0.2553619516666667,C0550,Medical,2024-10-22 20:07:00,2,SOUTH,CENTRAL,High,179.24,App,0,,,,,,,,,,False,I0093,AppSyncError,2024-10-22 23:20:00,Medium,PendingVendor,12.3,True,North,Contract,10,65.6,4.4,Flexible,1,EV,West,2024-12-28 08:10:00,86.6,165481,Active,v2.2
DL00057,O00921,D141,V077,H04,2024-12-09 10:53:00,2024-12-09 20:18:39.821307,Failed,10.91,0,0,1.22,6.59,9.427728140833333,C0448,Retail,2024-12-09 08:39:00,4,East,Central,Medium,198.22,App,0,,,,,,,,,,False,I0165,VehicleFault,2024-12-09 12:50:00,Medium,Open,0.1,True,North,PartTime,14,71.4,3.44,Flexible,1,EV,South,2025-04-23 19:27:00,67.6,116877,Scheduled,v2.1
DL00058,O01062,D125,V082,H02,2024-10-26 18:46:00,2024-10-26 22:22:57.920354,OnTime,15.33,0,0,5.0,7.95,3.616088987222222,C0559,Medical,2024-10-26 17:41:00,4,East,Central,Medium,128.73,App,1,,,,,,,,,,False,,,,,,,False,NORTH,PartTime,15,90.5,4.07,Morning,1,EV,Ctr,2024-02-03 08:40:00,81.2,81518,Active,v2.1
